"id","loan_tenure_in_months","loan_amount","status","date_created","date_won","company_id"
20449,24,60000.00,"rejected","2019-01-01 00:03:30",NULL,414
20450,6,17000.00,"accepted","2019-01-01 01:14:56","2019-06-29 05:47:54",111
20450,6,17000.00,"accepted","2019-01-01 01:14:56","2019-06-29 05:47:54",732
20451,24,10000.00,"rejected","2019-01-01 02:03:03",NULL,119
20452,12,30000.00,"rejected","2019-01-01 02:53:56",NULL,210
20453,3,5000.00,"open application","2019-01-01 04:47:46",NULL,198
20454,12,54000.00,"accepted","2019-01-01 05:01:51","2019-01-04 01:18:14",414
20455,24,100000.00,"rejected","2019-01-01 05:22:13",NULL,127
20456,3,10000.00,"open application","2019-01-01 05:42:54",NULL,17
20457,1,5000.00,"open application","2019-01-01 05:55:43",NULL,35
20458,24,90000.00,"rejected","2019-01-01 06:07:53",NULL,122
20459,24,100000.00,"rejected","2019-01-01 06:25:51",NULL,254
20460,24,50000.00,"open application","2019-01-01 08:28:59",NULL,364
20461,6,35000.00,"rejected","2019-01-01 09:16:48",NULL,198
20462,24,36000.00,"rejected","2019-01-01 09:57:39",NULL,198
20463,12,35000.00,"rejected","2019-01-01 10:06:21",NULL,412
20464,24,100000.00,"rejected","2019-01-01 10:39:15",NULL,157
20465,24,10000.00,"rejected","2019-01-01 10:46:39",NULL,385
20466,12,40000.00,"open application","2019-01-01 10:56:15",NULL,216
20467,12,50000.00,"rejected","2019-01-01 15:16:06",NULL,286
20468,6,5000.00,"rejected","2019-01-01 15:20:54",NULL,127
20469,12,50000.00,"rejected","2019-01-01 15:39:11",NULL,286
20470,6,20000.00,"accepted","2019-01-01 17:26:32","2019-01-04 00:40:25",385
20471,3,7000.00,"open application","2019-01-01 22:28:31",NULL,286
20472,12,54000.00,"rejected","2019-01-02 00:21:59",NULL,307
20473,6,15000.00,"rejected","2019-01-02 00:23:28",NULL,127
20474,6,10000.00,"accepted","2019-01-02 01:07:14","2019-01-03 04:55:28",299
20475,24,20000.00,"rejected","2019-01-02 01:53:14",NULL,198
20477,6,20000.00,"rejected","2019-01-02 02:16:44",NULL,198
20478,24,50000.00,"open application","2019-01-02 02:23:23",NULL,162
20479,12,32000.00,"rejected","2019-01-02 02:26:14",NULL,245
20480,6,22000.00,"rejected","2019-01-02 02:26:44",NULL,198
20481,1,15000.00,"rejected","2019-01-02 02:27:17",NULL,245
20482,3,5000.00,"open application","2019-01-02 02:30:48",NULL,254
20483,3,25000.00,"open application","2019-01-02 03:18:25",NULL,143
20484,6,11500.00,"accepted","2019-01-02 03:20:42","2019-03-01 00:26:43",414
20485,12,42000.00,"accepted","2019-01-02 03:22:44","2019-01-04 01:40:30",157
20486,24,100000.00,"rejected","2019-01-02 03:31:21",NULL,390
20487,12,60000.00,"accepted","2019-01-02 03:32:14","2019-01-09 06:10:24",414
20488,12,90000.00,"accepted","2019-01-02 03:41:51","2019-01-04 02:44:15",311
20489,6,20000.00,"open application","2019-01-02 03:46:36",NULL,319
20490,12,24000.00,"accepted","2019-01-02 04:09:54","2019-01-08 02:28:15",331
20491,12,50000.00,"rejected","2019-01-02 04:14:42",NULL,307
20492,6,20000.00,"rejected","2019-01-02 04:15:15",NULL,319
20493,24,25000.00,"rejected","2019-01-02 04:59:14",NULL,198
20494,12,30000.00,"accepted","2019-01-02 05:03:43","2019-01-07 01:47:11",157
20495,24,35000.00,"open application","2019-01-02 05:05:50",NULL,210
20496,12,20000.00,"rejected","2019-01-02 05:06:19",NULL,385
20498,6,30000.00,"rejected","2019-01-02 05:12:23",NULL,322
20499,24,100000.00,"rejected","2019-01-02 05:57:31",NULL,198
20500,12,40000.00,"rejected","2019-01-02 06:18:56",NULL,245
20501,24,30000.00,"rejected","2019-01-02 06:27:45",NULL,224
20502,24,90000.00,"accepted","2019-01-02 06:36:15","2019-01-04 02:30:56",122
20503,6,18000.00,"accepted","2019-01-02 06:47:38","2019-01-04 01:12:26",345
20504,24,25000.00,"open application","2019-01-02 06:57:08",NULL,385
20505,6,10000.00,"open application","2019-01-02 07:03:12",NULL,385
20506,12,40000.00,"accepted","2019-01-02 07:26:31","2019-01-04 02:23:53",322
20507,12,20000.00,"accepted","2019-01-02 07:49:02","2019-01-09 07:37:44",127
20508,6,14000.00,"accepted","2019-01-02 07:50:10","2019-01-04 09:05:18",395
20509,6,14000.00,"accepted","2019-01-02 08:06:42","2019-01-22 00:06:24",198
20510,6,50000.00,"rejected","2019-01-02 08:24:06",NULL,111
20510,6,50000.00,"rejected","2019-01-02 08:24:06",NULL,732
20511,24,100000.00,"rejected","2019-01-02 08:31:15",NULL,198
20512,12,100000.00,"rejected","2019-01-02 08:32:52",NULL,216
20513,6,25000.00,"accepted","2019-01-02 08:44:06","2019-01-04 01:15:31",385
20514,24,100000.00,"rejected","2019-01-02 08:56:04",NULL,225
20515,6,20500.00,"accepted","2019-01-02 09:11:34","2019-01-09 06:24:56",414
20516,24,25000.00,"rejected","2019-01-02 09:25:48",NULL,198
20517,24,200000.00,"accepted","2019-01-02 09:29:31","2019-01-04 01:29:26",198
20518,12,12000.00,"accepted","2019-01-02 09:57:45","2019-01-10 01:46:31",119
20519,12,50000.00,"open application","2019-01-02 10:05:24",NULL,385
20520,12,30000.00,"accepted","2019-01-02 10:23:15","2019-01-16 00:14:52",414
20521,6,16000.00,"accepted","2019-01-02 10:25:51","2019-01-04 01:20:52",385
20522,12,34000.00,"accepted","2019-01-02 10:59:56","2019-01-07 01:39:27",326
